"stcd","state_code","State","district","urbanindex","grouping","incumbent_party","Winning.party","Total.Population","Percentage.Women","Median.Household.Income","Mean.Household.Income","Median.Age","Percentage.Retirees..65..","Percentage.Bachelors.Degree.in.Population.over.25","Unemployment.Rate..16.and.over.","Region"
"NY-12","NY","New York",12,14.9034,"Dense Urban","DEM","DEM",705008,0.519,142104,232024,40.3,0.198956608,0.403,0.029,"Northeast"
"NY-07","NY","New York",7,14.85414,"Dense Urban","DEM","DEM",699930,0.512,88141,137243,34.2,0.113467061,0.303,0.036,"Northeast"
"NY-09","NY","New York",9,14.69678,"Dense Urban","DEM","DEM",756507,0.528,71800,105059,36.9,0.165820012,0.234,0.049,"Northeast"
"NY-13","NY","New York",13,14.69063,"Dense Urban","DEM","DEM",770616,0.524,47855,90725,36.8,0.154432298,0.2,0.055,"Northeast"
"NY-15","NY","New York",15,14.65565,"Dense Urban","DEM","DEM",727699,0.525,42090,74697,35.5,0.136112596,0.136,0.056,"Northeast"
"NY-10","NY","New York",10,14.653,"Dense Urban","DEM","DEM",706151,0.523,103988,200712,37,0.15408744,0.325,0.033,"Northeast"
"NY-14","NY","New York",14,14.64697,"Dense Urban","DEM","DEM",730392,0.507,61052,91735,37.1,0.155212543,0.181,0.045,"Northeast"
"NY-08","NY","New York",8,14.51535,"Dense Urban","DEM","DEM",754074,0.525,58631,100435,38.1,0.176082188,0.215,0.047,"Northeast"
"NY-06","NY","New York",6,14.4845,"Dense Urban","DEM","DEM",752577,0.515,73861,104150,42.6,0.198907221,0.23,0.027,"Northeast"
"NJ-08","NJ","New Jersey",8,13.9866,"Dense Urban","DEM","DEM",765996,0.494,78229,127181,35.4,0.119304801,0.244,0.034,"Northeast"
"CA-37","CA","California",37,13.94794,"Dense Urban","DEM","DEM",740416,0.498,64565,105185,34.5,0.121773435,0.18,0.046,"West"
"CA-34","CA","California",34,13.78271,"Dense Urban","DEM","DEM",745561,0.488,58845,90698,36.6,0.141218492,0.198,0.043,"West"
"NY-05","NY","New York",5,13.78018,"Dense Urban","DEM","DEM",751997,0.519,81621,108662,41.2,0.171962122,0.185,0.041,"Northeast"
"IL-07","IL","Illinois",7,13.64136,"Dense Urban","DEM","DEM",758917,0.527,76365,123828,34.2,0.130824583,0.257,0.045,"Midwest"
"PA-03","PA","Pennsylvania",3,13.63714,"Dense Urban","DEM","DEM",772128,0.529,60400,94159,33.8,0.143344109,0.223,0.05,"Northeast"
"CA-43","CA","California",43,13.62739,"Dense Urban","DEM","DEM",723043,0.513,66509,90543,35.5,0.126258051,0.154,0.044,"West"
"NY-11","NY","New York",11,13.62688,"Dense Urban","REP","REP",740025,0.51,82517,119276,41,0.181791156,0.203,0.03,"Northeast"
"CA-11","CA","California",11,13.56329,"Dense Urban","DEM","DEM",705678,0.484,139300,219266,39.7,0.179640006,0.369,0.024,"West"
"MA-07","MA","Massachusetts",7,13.54608,"Dense Urban","DEM","DEM",754113,0.512,81795,129758,32.9,0.122880788,0.264,0.038,"Northeast"
"NJ-10","NJ","New Jersey",10,13.49694,"Dense Urban","DEM","DEM",746241,0.513,67939,104054,37.9,0.146074794,0.197,0.05,"Northeast"
"PA-02","PA","Pennsylvania",2,13.47543,"Dense Urban","DEM","DEM",717771,0.517,53536,80806,36.7,0.153429158,0.179,0.039,"Northeast"
"CA-46","CA","California",46,13.41158,"Dense Urban","DEM","DEM",749454,0.504,80779,102727,34.8,0.120453023,0.157,0.028,"West"
"IL-04","IL","Illinois",4,13.3979,"Dense Urban","DEM","DEM",718854,0.498,69123,101737,37.2,0.142607539,0.154,0.039,"Midwest"
"CA-42","CA","California",42,13.38775,"Dense Urban","REP","DEM",723841,0.507,73006,96607,36,0.124614384,0.173,0.033,"West"
"NJ-09","NJ","New Jersey",9,13.36543,"Dense Urban","DEM","DEM",751224,0.511,77469,111733,38.9,0.162034227,0.215,0.038,"Northeast"
"CA-30","CA","California",30,13.35822,"Dense Urban","DEM","DEM",732048,0.502,85046,127287,40,0.167505409,0.33,0.044,"West"
"IL-03","IL","Illinois",3,13.31683,"Dense Urban","DEM","DEM",708538,0.492,78452,110500,37.2,0.140538687,0.247,0.031,"Midwest"
"CA-44","CA","California",44,13.30183,"Dense Urban","DEM","DEM",735344,0.505,78725,104095,36.8,0.14033024,0.17,0.039,"West"
"CA-29","CA","California",29,13.2762,"Dense Urban","DEM","DEM",728732,0.495,67175,93964,36.6,0.130563774,0.179,0.049,"West"
"CA-45","CA","California",45,13.2715,"Dense Urban","DEM","REP",752508,0.503,100891,131008,40.8,0.172068603,0.252,0.027,"West"
"IL-05","IL","Illinois",5,13.26219,"Dense Urban","DEM","DEM",732819,0.51,104191,155018,37.5,0.162124617,0.374,0.018,"Midwest"
"NY-16","NY","New York",16,13.2321,"Dense Urban","DEM","DEM",756711,0.516,96051,173412,41.2,0.178016442,0.24,0.031,"Northeast"
"NY-04","NY","New York",4,13.14159,"Dense Urban","DEM","REP",771912,0.507,131291,164099,40.5,0.182773425,0.232,0.029,"Northeast"
"CA-36","CA","California",36,13.0746,"Dense Urban","DEM","DEM",727412,0.514,121164,178732,40.7,0.18294859,0.376,0.036,"West"
"VA-08","VA","Virginia",8,13.06868,"Dense Urban","DEM","DEM",764684,0.505,122460,168675,37.6,0.137336468,0.316,0.019,"South"
"CA-38","CA","California",38,13.05118,"Dense Urban","DEM","DEM",720021,0.504,90687,116060,40.2,0.174783791,0.204,0.027,"West"
"CA-12","CA","California",12,12.99689,"Urban-Suburban","DEM","DEM",736597,0.503,100136,158118,38.3,0.161431556,0.29,0.026,"West"
"FL-24","FL","Florida",24,12.99463,"Urban-Suburban","DEM","DEM",791673,0.505,60388,95698,39.7,0.165784358,0.202,0.029,NA
"CA-28","CA","California",28,12.95812,"Urban-Suburban","DEM","DEM",719742,0.513,98310,147928,43,0.194655863,0.279,0.027,"West"
"CA-31","CA","California",31,12.91872,"Urban-Suburban","DEM","DEM",730452,0.5,82631,104798,39.1,0.160287055,0.164,0.03,"West"
"MD-07","MD","Maryland",7,12.91544,"Urban-Suburban","DEM","DEM",744504,0.532,56870,85174,36.8,0.163050837,0.172,0.033,"South"
"IL-09","IL","Illinois",9,12.90872,"Urban-Suburban","DEM","DEM",730979,0.498,86692,125253,41.6,0.188283111,0.321,0.033,"Midwest"
"TX-07","TX","Texas",7,12.90726,"Urban-Suburban","DEM","DEM",785353,0.504,70704,112176,33.9,0.115273005,0.274,0.037,"South"
"CO-01","CO","Colorado",1,12.90034,"Urban-Suburban","DEM","DEM",720042,0.495,87684,129542,35,0.123283086,0.358,0.027,"West"
"CA-17","CA","California",17,12.89651,"Urban-Suburban","DEM","DEM",740766,0.474,166489,225445,37.4,0.134193524,0.299,0.027,"West"
"MN-05","MN","Minnesota",5,12.88577,"Urban-Suburban","DEM","DEM",706667,0.499,77372,112891,34.7,0.134365974,0.312,0.031,"Midwest"
