"stcd","state_code","district","urbanindex","grouping","ballot_party","percent","winner","incumbent_party","Total.Population","Percentage.Women","Median.Household.Income","Mean.Household.Income","Median.Age","Percentage.Retirees..65..","Percentage.Bachelors.Degree.in.Population.over.25","Unemployment.Rate..16.and.over."
"NY-12","NY",12,14.9034,"Dense Urban","DEM",75.1191564576096,"true","DEM",705008,0.519,142104,232024,40.3,0.198956608,0.403,0.029
"NY-12","NY",12,14.9034,"Dense Urban","REP",16.6571178968327,"false","DEM",705008,0.519,142104,232024,40.3,0.198956608,0.403,0.029
"NY-12","NY",12,14.9034,"Dense Urban","CON",1.10318766380204,"false","DEM",705008,0.519,142104,232024,40.3,0.198956608,0.403,0.029
"NY-12","NY",12,14.9034,"Dense Urban","WFP",6.50860405111639,"true","DEM",705008,0.519,142104,232024,40.3,0.198956608,0.403,0.029
"NY-12","NY",12,14.9034,"Dense Urban","OTH",0.188537412892871,"false","DEM",705008,0.519,142104,232024,40.3,0.198956608,0.403,0.029
"NY-12","NY",12,14.9034,"Dense Urban","IND",0.256394628309055,"false","DEM",705008,0.519,142104,232024,40.3,0.198956608,0.403,0.029
"NY-12","NY",12,14.9034,"Dense Urban","",2.02068222912984,"","DEM",705008,0.519,142104,232024,40.3,0.198956608,0.403,0.029
"NY-12","NY",12,14.9034,"Dense Urban","",0,"","DEM",705008,0.519,142104,232024,40.3,0.198956608,0.403,0.029
"NY-12","NY",12,14.9034,"Dense Urban","",0.167001889437435,"","DEM",705008,0.519,142104,232024,40.3,0.198956608,0.403,0.029
"NY-07","NY",7,14.85414,"Dense Urban","",3.54204876469954,"","DEM",699930,0.512,88141,137243,34.2,0.113467061,0.303,0.036
"NY-07","NY",7,14.85414,"Dense Urban","DEM",64.4925288596397,"true","DEM",699930,0.512,88141,137243,34.2,0.113467061,0.303,0.036
"NY-07","NY",7,14.85414,"Dense Urban","WFP",16.0669975186104,"true","DEM",699930,0.512,88141,137243,34.2,0.113467061,0.303,0.036
"NY-07","NY",7,14.85414,"Dense Urban","REP",17.7682328190743,"false","DEM",699930,0.512,88141,137243,34.2,0.113467061,0.303,0.036
