"","stcd","state_code","district","urbanindex","grouping","incumbent_party","Winning.party","Total.Population","Percentage.Women","Median.Household.Income","Mean.Household.Income","Median.Age","Percentage.Retirees..65..","Percentage.Bachelors.Degree.in.Population.over.25","Unemployment.Rate..16.and.over."
"1","NY-12","NY",12,14.9034,"Dense Urban",0,0,705008,0.519,142104,232024,40.3,0.198956608,0.403,0.029
"2","NY-07","NY",7,14.85414,"Dense Urban",0,0,699930,0.512,88141,137243,34.2,0.113467061,0.303,0.036
"3","NY-09","NY",9,14.69678,"Dense Urban",0,0,756507,0.528,71800,105059,36.9,0.165820012,0.234,0.049
"4","NY-13","NY",13,14.69063,"Dense Urban",0,0,770616,0.524,47855,90725,36.8,0.154432298,0.2,0.055
"5","NY-15","NY",15,14.65565,"Dense Urban",0,0,727699,0.525,42090,74697,35.5,0.136112596,0.136,0.056
"6","NY-10","NY",10,14.653,"Dense Urban",0,0,706151,0.523,103988,200712,37,0.15408744,0.325,0.033
"7","NY-14","NY",14,14.64697,"Dense Urban",0,0,730392,0.507,61052,91735,37.1,0.155212543,0.181,0.045
"8","NY-08","NY",8,14.51535,"Dense Urban",0,0,754074,0.525,58631,100435,38.1,0.176082188,0.215,0.047
"9","NY-06","NY",6,14.4845,"Dense Urban",0,0,752577,0.515,73861,104150,42.6,0.198907221,0.23,0.027
"10","NJ-08","NJ",8,13.9866,"Dense Urban",0,0,765996,0.494,78229,127181,35.4,0.119304801,0.244,0.034
"11","CA-37","CA",37,13.94794,"Dense Urban",0,0,740416,0.498,64565,105185,34.5,0.121773435,0.18,0.046
"12","CA-34","CA",34,13.78271,"Dense Urban",0,0,745561,0.488,58845,90698,36.6,0.141218492,0.198,0.043
"13","NY-05","NY",5,13.78018,"Dense Urban",0,0,751997,0.519,81621,108662,41.2,0.171962122,0.185,0.041
"14","IL-07","IL",7,13.64136,"Dense Urban",0,0,758917,0.527,76365,123828,34.2,0.130824583,0.257,0.045
"15","PA-03","PA",3,13.63714,"Dense Urban",0,0,772128,0.529,60400,94159,33.8,0.143344109,0.223,0.05
"16","CA-43","CA",43,13.62739,"Dense Urban",0,0,723043,0.513,66509,90543,35.5,0.126258051,0.154,0.044
"17","NY-11","NY",11,13.62688,"Dense Urban",1,1,740025,0.51,82517,119276,41,0.181791156,0.203,0.03
"18","CA-11","CA",11,13.56329,"Dense Urban",0,0,705678,0.484,139300,219266,39.7,0.179640006,0.369,0.024
"19","MA-07","MA",7,13.54608,"Dense Urban",0,0,754113,0.512,81795,129758,32.9,0.122880788,0.264,0.038
"20","NJ-10","NJ",10,13.49694,"Dense Urban",0,0,746241,0.513,67939,104054,37.9,0.146074794,0.197,0.05
"21","PA-02","PA",2,13.47543,"Dense Urban",0,0,717771,0.517,53536,80806,36.7,0.153429158,0.179,0.039
"22","CA-46","CA",46,13.41158,"Dense Urban",0,0,749454,0.504,80779,102727,34.8,0.120453023,0.157,0.028
"23","IL-04","IL",4,13.3979,"Dense Urban",0,0,718854,0.498,69123,101737,37.2,0.142607539,0.154,0.039
"24","CA-42","CA",42,13.38775,"Dense Urban",1,0,723841,0.507,73006,96607,36,0.124614384,0.173,0.033
"25","NJ-09","NJ",9,13.36543,"Dense Urban",0,0,751224,0.511,77469,111733,38.9,0.162034227,0.215,0.038
"26","CA-30","CA",30,13.35822,"Dense Urban",0,0,732048,0.502,85046,127287,40,0.167505409,0.33,0.044
"27","IL-03","IL",3,13.31683,"Dense Urban",0,0,708538,0.492,78452,110500,37.2,0.140538687,0.247,0.031
"28","CA-44","CA",44,13.30183,"Dense Urban",0,0,735344,0.505,78725,104095,36.8,0.14033024,0.17,0.039
"29","CA-29","CA",29,13.2762,"Dense Urban",0,0,728732,0.495,67175,93964,36.6,0.130563774,0.179,0.049
"30","CA-45","CA",45,13.2715,"Dense Urban",0,1,752508,0.503,100891,131008,40.8,0.172068603,0.252,0.027
"31","IL-05","IL",5,13.26219,"Dense Urban",0,0,732819,0.51,104191,155018,37.5,0.162124617,0.374,0.018
"32","NY-16","NY",16,13.2321,"Dense Urban",0,0,756711,0.516,96051,173412,41.2,0.178016442,0.24,0.031
"33","NY-04","NY",4,13.14159,"Dense Urban",0,1,771912,0.507,131291,164099,40.5,0.182773425,0.232,0.029
"34","CA-36","CA",36,13.0746,"Dense Urban",0,0,727412,0.514,121164,178732,40.7,0.18294859,0.376,0.036
"35","VA-08","VA",8,13.06868,"Dense Urban",0,0,764684,0.505,122460,168675,37.6,0.137336468,0.316,0.019
"36","CA-38","CA",38,13.05118,"Dense Urban",0,0,720021,0.504,90687,116060,40.2,0.174783791,0.204,0.027
"37","CA-12","CA",12,12.99689,"Urban-Suburban",0,0,736597,0.503,100136,158118,38.3,0.161431556,0.29,0.026
"38","FL-24","FL",24,12.99463,"Urban-Suburban",0,0,791673,0.505,60388,95698,39.7,0.165784358,0.202,0.029
"39","CA-28","CA",28,12.95812,"Urban-Suburban",0,0,719742,0.513,98310,147928,43,0.194655863,0.279,0.027
"40","CA-31","CA",31,12.91872,"Urban-Suburban",0,0,730452,0.5,82631,104798,39.1,0.160287055,0.164,0.03
"41","MD-07","MD",7,12.91544,"Urban-Suburban",0,0,744504,0.532,56870,85174,36.8,0.163050837,0.172,0.033
"42","IL-09","IL",9,12.90872,"Urban-Suburban",0,0,730979,0.498,86692,125253,41.6,0.188283111,0.321,0.033
"43","TX-07","TX",7,12.90726,"Urban-Suburban",0,0,785353,0.504,70704,112176,33.9,0.115273005,0.274,0.037
"44","CO-01","CO",1,12.90034,"Urban-Suburban",0,0,720042,0.495,87684,129542,35,0.123283086,0.358,0.027
"45","CA-17","CA",17,12.89651,"Urban-Suburban",0,0,740766,0.474,166489,225445,37.4,0.134193524,0.299,0.027
"46","MN-05","MN",5,12.88577,"Urban-Suburban",0,0,706667,0.499,77372,112891,34.7,0.134365974,0.312,0.031
"47","CA-32","CA",32,12.8771,"Urban-Suburban",0,0,783556,0.504,103213,164440,40.6,0.179102706,0.311,0.039
"48","CA-52","CA",52,12.86991,"Urban-Suburban",0,0,749240,0.503,79870,97953,35.3,0.13451364,0.181,0.04
"49","FL-27","FL",27,12.86377,"Urban-Suburban",1,1,754619,0.509,75323,129442,42.2,0.191162693,0.251,0.018
"50","WA-07","WA",7,12.81346,"Urban-Suburban",0,0,783927,0.49,115418,169142,36.2,0.139784699,0.372,0.024
"51","WI-04","WI",4,12.77521,"Urban-Suburban",0,0,719451,0.514,54672,82333,34.3,0.138684914,0.206,0.03
"52","CA-51","CA",51,12.76409,"Urban-Suburban",0,0,757528,0.5,100357,126874,37.3,0.147778036,0.273,0.031
"53","TX-32","TX",32,12.76321,"Urban-Suburban",0,0,787408,0.499,65935,98364,32.5,0.101253734,0.262,0.031
"54","CA-47","CA",47,12.75985,"Urban-Suburban",0,0,752940,0.503,117944,167329,38.5,0.161201424,0.358,0.026
"55","MA-05","MA",5,12.75613,"Urban-Suburban",0,0,776294,0.515,115167,171015,39.5,0.172569928,0.284,0.017
"56","CA-15","CA",15,12.74003,"Urban-Suburban",0,0,719254,0.5,135162,194363,41.3,0.182016367,0.277,0.024
"57","PA-05","PA",5,12.70543,"Urban-Suburban",0,0,768063,0.52,79416,122836,38.7,0.164991674,0.23,0.038
"58","CA-16","CA",16,12.69778,"Urban-Suburban",0,0,735381,0.504,160623,252250,40.6,0.179766679,0.292,0.023
"59","MD-08","MD",8,12.69373,"Urban-Suburban",0,0,755348,0.51,123494,171443,41.6,0.187945159,0.278,0.022
"60","CA-35","CA",35,12.69247,"Urban-Suburban",0,0,769910,0.497,84692,102832,34.2,0.107626865,0.154,0.036
"61","AZ-03","AZ",3,12.67575,"Urban-Suburban",0,0,835089,0.495,63913,84482,31,0.0872889,0.121,0.032
"62","MD-04","MD",4,12.67143,"Urban-Suburban",0,0,750800,0.524,86941,103631,37.9,0.145672616,0.191,0.035
"63","MI-12","MI",12,12.66166,"Urban-Suburban",0,0,759672,0.517,54818,79389,37.3,0.167448583,0.165,0.043
"64","TX-09","TX",9,12.64574,"Urban-Suburban",0,0,774848,0.52,63597,87973,34.6,0.126304772,0.174,0.036
"65","TX-18","TX",18,12.6062,"Urban-Suburban",0,0,789388,0.487,58932,93568,32.6,0.10221336,0.176,0.045
"66","FL-25","FL",25,12.59246,"Urban-Suburban",1,0,767802,0.504,79024,110218,41.9,0.170180593,0.265,0.028
"67","NV-01","NV",1,12.57916,"Urban-Suburban",0,0,767891,0.497,63781,87925,38.9,0.167719116,0.162,0.038
