"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 17 years","SEX AND AGE!!Total population!!18 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 years and over","SEX AND AGE!!Total population!!Median age (years)","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!21 years and over","SEX AND AGE!!Total population!!62 years and over","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!Under 18 years","SEX AND AGE!!Total population!!Under 18 years!!Male","SEX AND AGE!!Total population!!Under 18 years!!Female","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!18 years and over!!Male","SEX AND AGE!!Total population!!18 years and over!!Female","SEX AND AGE!!Total population!!18 to 34 years","SEX AND AGE!!Total population!!18 to 34 years!!Male","SEX AND AGE!!Total population!!18 to 34 years!!Female","SEX AND AGE!!Total population!!35 to 64 years","SEX AND AGE!!Total population!!35 to 64 years!!Male","SEX AND AGE!!Total population!!35 to 64 years!!Female","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!65 years and over!!Male","SEX AND AGE!!Total population!!65 years and over!!Female","EDUCATIONAL ATTAINMENT","EDUCATIONAL ATTAINMENT!!Population 25 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher!!Male, high school graduate or higher","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher!!Female, high school graduate or higher","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher!!Male, bachelor's degree or higher","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher!!Female, bachelor's degree or higher","EMPLOYMENT STATUS","EMPLOYMENT STATUS!!Population 16 years and over","EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed","EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!Median household income (dollars)","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With earnings!!Mean earnings (dollars)","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Individuals!!Mean earnings (dollars)  for full-time, year-round workers:","HEALTH INSURANCE COVERAGE"
" -> Congressional District 1 (118th Congress), Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> Congressional District 1 (118th Congress), Alabama -> Total population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","730,935","48.5%","51.5%","5.6%","16.5%","8.1%","12.8%","12.0%","12.5%","13.3%","11.5%","7.8%","40.9","77.9%","74.3%","23.8%","19.3%","161,476","51.5%","48.5%","569,459","47.7%","52.3%","152,774","50.9%","49.1%","275,524","47.5%","52.5%","141,161","44.6%","55.4%","","510,229","9.8%","33.1%","30.2%","17.1%","9.9%","90.2%","88.9%","91.4%","27.0%","26.3%","27.6%","","588,719","54.1%","2.9%","","287,884","58,781","83,458","",""
"        Margin of Error","","±3,563","±0.3","±0.3","±0.2","±0.3","±0.3","±0.4","±0.3","±0.3","±0.2","±0.2","±0.2","±0.5","±0.2","±0.4","±0.4","±0.2","±2,216","±1.0","±1.0","±2,689","±0.2","±0.2","±2,825","±0.8","±0.8","±2,601","±0.4","±0.4","±1,597","±0.5","±0.5","","±2,650","±0.8","±1.5","±1.5","±1.0","±0.8","±0.8","±1.3","±0.8","±1.3","±1.8","±1.7","","±3,447","±1.2","±0.4","","±4,819","±2,611","±3,218","",""
" -> Congressional District 2 (118th Congress), Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> Congressional District 2 (118th Congress), Alabama -> Total population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","723,094","48.5%","51.5%","5.7%","16.9%","8.4%","13.8%","12.4%","11.9%","12.8%","10.6%","7.5%","39.1","77.4%","73.9%","21.8%","18.0%","163,223","51.0%","49.0%","559,871","47.7%","52.3%","160,723","49.9%","50.1%","268,697","48.5%","51.5%","130,451","43.6%","56.4%","","498,956","11.5%","31.7%","30.8%","15.5%","10.5%","88.5%","86.6%","90.2%","26.0%","24.0%","27.7%","","580,149","54.1%","2.4%","","285,337","57,561","78,988","",""
"        Margin of Error","","±6,735","±0.4","±0.4","±0.3","±0.4","±0.4","±0.4","±0.3","±0.4","±0.3","±0.2","±0.2","±0.5","±0.4","±0.5","±0.5","±0.3","±3,572","±1.4","±1.4","±4,540","±0.4","±0.4","±3,200","±1.0","±1.0","±3,430","±0.6","±0.6","±1,948","±0.7","±0.7","","±4,690","±0.8","±1.3","±1.1","±0.8","±0.8","±0.8","±1.2","±0.8","±1.2","±1.4","±1.3","","±5,123","±0.9","±0.4","","±3,882","±1,738","±2,990","",""
" -> Congressional District 3 (118th Congress), Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> Congressional District 3 (118th Congress), Alabama -> Total population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
